Frame Time,Row,Column,Well,ImageRep,UniqueID,Flask ID,CellCount.BF.Count,Cell Count,Treatment,Day,Note
01:18.1,E,11,E11,2,E11-2,C11,34,3400,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:18.7,E,11,E11,3,E11-3,C11,71,7100,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:19.4,E,11,E11,4,E11-4,C11,48,4800,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:20.1,E,11,E11,5,E11-5,C11,2,200,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:21.5,E,12,E12,1,E12-1,C12,6,600,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:22.2,E,12,E12,2,E12-2,C12,37,3700,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:22.8,E,12,E12,3,E12-3,C12,53,5300,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:23.4,E,12,E12,4,E12-4,C12,5,500,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:24.1,E,12,E12,5,E12-5,C12,12,1200,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:25.7,F,12,F12,1,F12-1,C12,9,900,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:26.3,F,12,F12,2,F12-2,C12,17,1700,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:27.0,F,12,F12,3,F12-3,C12,95,9500,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:27.6,F,12,F12,4,F12-4,C12,110,11000,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:28.2,F,12,F12,5,F12-5,C12,76,7600,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:29.7,F,11,F11,1,F11-1,C11,2,200,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:30.4,F,11,F11,2,F11-2,C11,10,1000,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:31.0,F,11,F11,3,F11-3,C11,11,1100,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:31.7,F,11,F11,4,F11-4,C11,37,3700,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:32.2,F,11,F11,5,F11-5,C11,0,0,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:33.8,F,10,F10,1,F10-1,C10,0,0,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:34.5,F,10,F10,2,F10-2,C10,21,2100,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:35.2,F,10,F10,3,F10-3,C10,36,3600,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:35.8,F,10,F10,4,F10-4,C10,57,5700,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:36.4,F,10,F10,5,F10-5,C10,27,2700,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:37.9,F,9,F9,1,F9-1,C9,21,2100,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:38.5,F,9,F9,2,F9-2,C9,44,4400,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:39.1,F,9,F9,3,F9-3,C9,20,2000,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:39.7,F,9,F9,4,F9-4,C9,15,1500,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:40.3,F,9,F9,5,F9-5,C9,5,500,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:41.9,F,8,F8,1,F8-1,C8,20,2000,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:42.6,F,8,F8,2,F8-2,C8,1,100,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:43.2,F,8,F8,3,F8-3,C8,30,3000,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:43.9,F,8,F8,4,F8-4,C8,6,600,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:44.6,F,8,F8,5,F8-5,C8,0,0,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:46.2,F,7,F7,1,F7-1,C7,2,200,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:46.7,F,7,F7,2,F7-2,C7,22,2200,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:47.3,F,7,F7,3,F7-3,C7,5,500,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:47.9,F,7,F7,4,F7-4,C7,14,1400,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:48.5,F,7,F7,5,F7-5,C7,18,1800,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:49.9,F,6,F6,1,F6-1,C6,13,1300,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:50.5,F,6,F6,2,F6-2,C6,67,6700,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:51.1,F,6,F6,3,F6-3,C6,5,500,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:51.7,F,6,F6,4,F6-4,C6,20,2000,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:52.3,F,6,F6,5,F6-5,C6,9,900,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:53.8,F,5,F5,1,F5-1,C5,1,100,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:54.5,F,5,F5,2,F5-2,C5,24,2400,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:55.1,F,5,F5,3,F5-3,C5,2,200,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:55.8,F,5,F5,4,F5-4,C5,3,300,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:56.4,F,5,F5,5,F5-5,C5,4,400,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:57.9,F,4,F4,1,F4-1,C4,5,500,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:58.5,F,4,F4,2,F4-2,C4,0,0,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
01:59.2,F,4,F4,3,F4-3,C4,0,0,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
